company,city,county,assigned_trade,needs_category_review,has_description,classification,email,website
"#1 Son Plumbing, Inc.",Redlands,San Bernardino,plumbing,,yes,$0 to $1 million,1sonplumbing@gmail.com,https://www.1sonplumbing.com
"20/20 Plumbing & Heating, Inc.",Riverside,Riverside,plumbing,,no,>$3 million to $6 million,l.segarra@2020ph.com,https://www.2020ph.com
"A & C Electric, Inc.",Rancho Cucamonga,San Bernardino,electrical,,no,$0 to $1 million,mike@ac-electricinc.com,
A to Z Electrical,Laguna Hills,Orange,electrical,,no,>$3 million to $6 million,alina@atozelectricians.com,https://www.atozelectricians.com
"A.J. Kirkwood and Associates, Inc.",Fullerton,Orange,electrical,,yes,>$100 million to $250 million,leah.zappia@ajk-a.com,https://www.ajk-a.com
"Abigail Electric, Inc.",Alhambra,Los Angeles,electrical,,no,$0 to $1 million,ogomez@abigailelectric.com,
"AC Pros, Inc.",Reseda,Los Angeles,general-contractor,YES,no,>$1 million to $3 million,acprosinc@gmail.com,https://www.acprosinc.com
"Access Electric, Inc.",Tustin,Orange,electrical,,no,>$6 million to $10 million,tabitha@accesselectricinc.com,https://www.accesselectricinc.com
ACME Construction Supply,Santa Fe Springs,Los Angeles,general-contractor,,yes,Supplier,ginag@acmetool.com,https://www.acmetool.com
"Advanced Electrical Technologies, Inc.",Murrieta,Riverside,electrical,,no,$0 to $1 million,pbrock@advelectech.com,https://www.advelectech.com
"Air Control Systems, Inc.",Ontario,San Bernardino,hvac,,yes,>$20 million to $50 million,jleotaud@aircontrolsystems.net,https://www.aircontrolsystems.com
"Air Design & Solutions, Inc.",Riverside,Riverside,general-contractor,YES,no,>$1 million to $3 million,jmyers@airdesign.solutions,
"AK Constructors, Inc.",Corona,Riverside,electrical,,yes,>$3 million to $6 million,jen@akconstructors.com,https://www.akconstructors.com
ALBD Electric & Cable,La Habra,Orange,electrical,,no,>$20 million to $50 million,chad@albdinc.com,https://www.albdinc.com
All American Building Services,Santa Clarita,Los Angeles,general-contractor,,no,>$1 million to $3 million,anthony@allamericanrebuild.com,
"All Star Air Systems, Inc.",Fountain Valley,Orange,general-contractor,,yes,>$1 million to $3 million,allstarairsystems@gmail.com,
"Allegiance Air & Mechanical, Inc.",Victorville,San Bernardino,hvac,,no,>$1 million to $3 million,cl@allegianceairinc.com,https://www.allegianceairinc.com
"Allegiance Electric, Inc.",Murrieta,Riverside,electrical,,no,>$1 million to $3 million,acentanni@allegianceelec.com,
"Alliance Electrical Systems, Inc.",San Diego,San Diego,electrical,,no,$0 to $1 million,brad@absenergy.com,
"Alpha Mechanical, LLC",El Cajon,San Diego,hvac,,yes,$0 to $1 million,jeidsmoe@alphamechanical.com,https://www.alphamechanical.com
Alternative Power Partners LLC,Carlsbad,San Diego,general-contractor,YES,no,$0 to $1 million,dkbrian@altpowerpartners.com,https://www.altpowerpartners.com
Amtek Construction,Orange,Orange,general-contractor,,no,>$3 million to $6 million,steven@amtekconstruction.com,https://www.amtekconstruction.com
Anderson Air Conditioning L.P.,Fullerton,Orange,hvac,,yes,>$10 million to $20 million,mhaynam@amsofusa.com,https://www.amsofusa.com
"Andulra Development, Inc.",Calabasas,Los Angeles,general-contractor,YES,no,$0 to $1 million,rwood@andulra.com,https://www.andulra.com
"ANI Mechanical, Inc.",Burbank,Los Angeles,hvac,,no,$0 to $1 million,raymond@aniplumbing.com,
AP Building Maintenance Inc.,Anaheim,Orange,general-contractor,,no,>$1 million to $3 million,andrew@apbuildinginc.com,https://www.apbuildinginc.com
Apollo Electric,Torrance,Los Angeles,electrical,,no,$0 to $1 million,imoodie@apollonyc.com,
"Apple Valley Communications, Inc.",Apple Valley,San Bernardino,general-contractor,YES,yes,>$20 million to $50 million,lcusack@avcsystems.com,https://www.applevalleycommunications.com
"Aquila Energy, LLC",Vista,San Diego,general-contractor,YES,no,>$10 million to $20 million,dflick@aquilaenergy.com,https://www.aquilaenergy.com
Arena Staffing,Ontario,San Bernardino,general-contractor,,yes,Associate,dave@arenastaffing.net,https://www.arenastaffing.net
Aris Construction,Burbank,Los Angeles,general-contractor,,no,$0 to $1 million,aris@aconstruction.org,
"Arrow Electric Construction Services, Inc.",Anaheim,Orange,electrical,,no,>$1 million to $3 million,arrowelectric@dslextreme.com,
