company,city,state,reason
Accurate Weld Testing Lab,Huntington Beach,CA,"Associate, no trade detected (likely not a contractor)"
Acrisure,Irvine,CA,"Associate, no trade detected (likely not a contractor)"
Aeroseal LLC,Miamisburg,OH,out-of-state
"Aerotek, Inc.",City of Industry,CA,"Associate, no trade detected (likely not a contractor)"
"Aircon Energy, Inc.",Gold River,CA,city not in the 8 SoCal counties
Aldrich CPAs + Advisors LLP,Irvine,CA,"Associate, no trade detected (likely not a contractor)"
American Business Bank,Anaheim,CA,"Associate, no trade detected (likely not a contractor)"
Assured Partners of California,Newport Beach,CA,"Associate, no trade detected (likely not a contractor)"
"Bellingham Marine Industries, Inc.",Bellingham,WA,out-of-state
Beneco Part of FuturePlan By Ascensus,Kansas City,MO,out-of-state
BuildOps,Santa Monica,CA,"Associate, no trade detected (likely not a contractor)"
Chamberlain Backhoe,Placentia,CA,"Associate, no trade detected (likely not a contractor)"
"Climatec, LLC",Phoenix,AZ,out-of-state
Commercial Van Interiors,Whittier,CA,"Associate, no trade detected (likely not a contractor)"
Document Crunch,Flowery Branch,GA,out-of-state
"Douglas-McCarty Insurance Services, LLC",San Clemente,CA,"Associate, no trade detected (likely not a contractor)"
EBacon,Phoenix,AZ,out-of-state
Enterprise Fleet Management,Anaheim,CA,"Associate, no trade detected (likely not a contractor)"
EquipmentShare,Whittier,CA,"Supplier, no trade detected (likely not a contractor)"
"Fanlight Corporation, Inc.",Ontario,CA,"Supplier, no trade detected (likely not a contractor)"
Frontline Fall Protection,Malvern,PA,out-of-state
FuturePlan By Ascensus,San Diego,CA,"Associate, no trade detected (likely not a contractor)"
Hammr,San Francisco,CA,city not in the 8 SoCal counties
HUB International,Newport Beach,CA,"Associate, no trade detected (likely not a contractor)"
"Insul-Therm International, Inc.",Commerce,CA,"Associate, no trade detected (likely not a contractor)"
Isuzu Commercial Truck of America,Anaheim,CA,"Associate, no trade detected (likely not a contractor)"
"James C. Cushman, Inc.",Santa Barbara,CA,city not in the 8 SoCal counties
Jessup Auto Plaza,Cathedral City,CA,"Associate, no trade detected (likely not a contractor)"
"Klein Tools, Inc.",Lincolnshire,IL,out-of-state
Knecht Strategies,Roseville,CA,city not in the 8 SoCal counties
Laurie Richards and Associates,,,out-of-state
MAX 360 Corporation,Pasadena,CA,"Associate, no trade detected (likely not a contractor)"
Milwaukee Tool,Anaheim,CA,"Supplier, no trade detected (likely not a contractor)"
MobiClocks,Fort Lauderdale,FL,out-of-state
Moody Insurance Agency,Valencia,CA,"Associate, no trade detected (likely not a contractor)"
Navigators Advisory Group,Irvine,CA,"Associate, no trade detected (likely not a contractor)"
OC Tool House,Brea,CA,"Supplier, no trade detected (likely not a contractor)"
OPTERRA Energy Services,Sacramento,CA,city not in the 8 SoCal counties
Paradise Chevrolet Cadillac,Temecula,CA,"Associate, no trade detected (likely not a contractor)"
PeopleReady Skilled Trades,Tacoma,WA,out-of-state
"Power Design, Inc.",Saint Petersburg,FL,out-of-state
Proforma Element7,Las Vegas,NV,out-of-state
Public Works Consultant LLC,Upland,CA,"Associate, no trade detected (likely not a contractor)"
"Retro-Tech Systems, Inc.",Gambrills,MD,out-of-state
Saferite Solutions,Miami,FL,out-of-state
Salus Safety,Corona,CA,"Associate, no trade detected (likely not a contractor)"
Scopes Facility Services,Irvine,CA,"Associate, no trade detected (likely not a contractor)"
ServiceTitan,Glendale,CA,"Associate, no trade detected (likely not a contractor)"
SMARTBUILD Construction Solutions Inc.,Brampton,ON,out-of-state
SoCal Financial Education Center,Buena Park,CA,"Associate, no trade detected (likely not a contractor)"
Southwire Company,Carrollton,GA,out-of-state
Stuart Kane LLP,Newport Beach,CA,"Associate, no trade detected (likely not a contractor)"
The Amphibious Group: Amphibious Medics & Savi EHS,Long Beach,CA,"Associate, no trade detected (likely not a contractor)"
The Contractors Plan,Austin,TX,out-of-state
The Heico Companies,Warrenville,IL,out-of-state
The Ryan Company,Norton,MA,out-of-state
"The T & M Group, Inc.",Huntington Beach,CA,"Associate, no trade detected (likely not a contractor)"
"TotalEnergies Distributed Generation USA, LLC",Austin,TX,out-of-state
"Trillium USA Company, LLC",Houston,TX,out-of-state
"United Rentals, Inc.",Riverside,CA,"Supplier, no trade detected (likely not a contractor)"
"US Telecom Services, Inc.",Saint Charles,MO,out-of-state
Veto Pro Pac LLC,Norwalk,CT,out-of-state
West Coast Group Benefits,San Diego,CA,"Associate, no trade detected (likely not a contractor)"
Wolds VanderWal PC,San Diego,CA,"Associate, no trade detected (likely not a contractor)"
Zurel,San Diego,CA,"Associate, no trade detected (likely not a contractor)"
